Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
LOC130009316	130009316	37	34	-	-	-	6	0
LOC130009317	130009317	37	34	-	-	-	6	0
LOC130009318	130009318	37	34	-	-	-	6	0
LOC130009319	130009319	37	34	-	-	-	6	0
LOC130009320	130009320	34	31	-	-	-	6	0
LOC130009321	130009321	34	31	-	-	-	6	0
LOC130009322	130009322	33	31	-	-	-	5	0
LOC130009323	130009323	29	27	-	-	-	5	0
LOC130009324	130009324	29	27	-	-	-	5	0
LOC130009325	130009325	24	24	-	-	-	5	0
LOC130009326	130009326	23	23	-	-	-	4	0
LOC130009327	130009327	23	23	-	-	-	4	0
LOC130009328	130009328	33	33	-	-	-	13	0
LOC130009329	130009329	23	23	-	-	-	4	0
LOC130009330	130009330	21	21	-	-	-	2	0
LOC130009331	130009331	21	21	-	-	-	2	0
LOC130009332	130009332	21	21	-	-	-	2	0
LOC130009333	130009333	21	21	-	-	-	2	0
LOC130009334	130009334	21	21	-	-	-	2	0
LOC130009335	130009335	21	21	-	-	-	2	0
LOC130009336	130009336	21	21	-	-	-	2	0
LOC130009337	130009337	26	26	-	-	-	7	0
LOC130009338	130009338	27	27	-	-	-	8	0
LOC130009339	130009339	22	22	-	-	-	3	0
LOC130009340	130009340	22	22	-	-	-	3	0
LOC130009341	130009341	22	22	-	-	-	3	0
LOC130009342	130009342	22	22	-	-	-	3	0
LOC130009343	130009343	21	21	-	-	-	2	0
LOC130009344	130009344	21	21	-	-	-	2	0
LOC130009345	130009345	21	21	-	-	-	2	0
LOC130009346	130009346	21	21	-	-	-	2	0
LOC130009347	130009347	21	21	-	-	-	2	0
LOC130009348	130009348	21	21	-	-	-	2	0
LOC130009349	130009349	21	21	-	-	-	2	0
LOC130009350	130009350	21	21	-	-	-	2	0
LOC130009351	130009351	21	21	-	-	-	2	0
LOC130009352	130009352	21	21	-	-	-	2	0
LOC130009353	130009353	21	21	-	-	-	2	0
LOC130009354	130009354	21	21	-	-	-	2	0
LOC130009355	130009355	19	19	-	-	-	1	0
LOC130009356	130009356	19	19	-	-	-	1	0
LOC130009357	130009357	20	20	-	-	-	1	0
LOC130009358	130009358	20	20	-	-	-	1	0
LOC130009359	130009359	20	20	-	-	-	1	0
LOC130009360	130009360	20	20	-	-	-	1	0
LOC130009361	130009361	21	21	-	-	-	2	0
LOC130009362	130009362	45	43	-	-	-	19	0
LOC130009363	130009363	45	43	-	-	-	18	0
LOC130009364	130009364	45	43	-	-	-	18	0
LOC130009365	130009365	42	40	-	-	-	18	0
LOC130009366	130009366	175	130	-	12	-	26	0
LOC130009367	130009367	42	40	-	-	-	18	0
LOC130009368	130009368	42	40	-	-	-	18	0
LOC130009369	130009369	42	40	-	-	-	18	0
LOC130009370	130009370	37	36	-	-	-	16	0
LOC130009371	130009371	37	36	-	-	-	16	0
LOC130009372	130009372	37	36	-	-	-	16	0
LOC130009373	130009373	34	33	-	-	-	13	0
LOC130009374	130009374	34	33	-	-	-	13	0
LOC130009375	130009375	34	33	-	-	-	13	0
LOC130009376	130009376	34	33	-	-	-	13	0
LOC130009377	130009377	34	33	-	-	-	13	0
LOC130009378	130009378	34	33	-	-	-	13	0
LOC130009379	130009379	34	33	-	-	-	12	0
LOC130009380	130009380	34	33	-	-	-	12	0
LOC130009381	130009381	34	33	-	-	-	12	0
LOC130009382	130009382	34	33	-	-	-	12	0
LOC130009383	130009383	34	33	-	-	-	12	0
LOC130009384	130009384	35	34	-	-	-	12	0
LOC130009385	130009385	35	34	-	-	-	12	0
LOC130009386	130009386	34	33	-	-	-	12	0
LOC130009387	130009387	33	32	-	-	-	12	0
LOC130009388	130009388	31	30	-	-	-	11	0
LOC130009389	130009389	32	31	-	-	-	11	0
LOC130009390	130009390	32	31	-	-	-	11	0
LOC130009391	130009391	32	31	-	-	-	10	0
LOC130009392	130009392	32	31	-	-	-	10	0
LOC130009393	130009393	32	31	-	-	-	10	0
LOC130009394	130009394	32	31	-	-	-	10	0
LOC130009395	130009395	32	31	-	-	-	10	0
LOC130009396	130009396	32	31	-	-	-	10	0
LOC130009397	130009397	18	18	-	-	-	1	0
LOC130009398	130009398	17	17	-	-	-	1	0
LOC130009399	130009399	19	19	-	-	-	3	0
LOC130009400	130009400	18	18	-	-	-	2	0
LOC130009401	130009401	18	18	-	-	-	2	0
LOC130009402	130009402	18	18	-	-	-	2	0
LOC130009403	130009403	18	18	-	-	-	2	0
LOC130009404	130009404	17	17	-	-	-	2	0
LOC130009405	130009405	16	16	-	-	-	1	0
LOC130009406	130009406	16	16	-	-	-	1	0
LOC130009407	130009407	16	16	-	-	-	1	0
LOC130009408	130009408	16	16	-	-	-	1	0
LOC130009409	130009409	16	16	-	-	-	1	0
LOC130009410	130009410	16	16	-	-	-	1	0
LOC130009411	130009411	16	16	-	-	-	1	0
LOC130009412	130009412	17	17	-	-	-	2	0
LOC130009413	130009413	16	16	-	-	-	1	0
LOC130009414	130009414	15	15	-	-	-	-	-
LOC130009415	130009415	15	15	-	-	-	-	-
LOC130009416	130009416	23	23	-	4	-	4	0
LOC130009417	130009417	15	15	-	-	-	-	-
LOC130009418	130009418	15	15	-	-	-	-	-
LOC130009419	130009419	15	15	-	-	-	-	-
LOC130009420	130009420	15	15	-	-	-	-	-
LOC130009421	130009421	15	15	-	-	-	-	-
LOC130009422	130009422	16	16	-	-	-	-	-
LOC130009423	130009423	17	17	-	-	-	-	-
LOC130009424	130009424	16	16	-	-	-	-	-
LOC130009425	130009425	16	16	-	-	-	-	-
LOC130009426	130009426	16	16	-	-	-	-	-
LOC130009427	130009427	16	16	-	-	-	-	-
LOC130009428	130009428	16	16	-	-	-	-	-
LOC130009429	130009429	16	16	-	-	-	-	-
LOC130009430	130009430	16	16	-	-	-	-	-
LOC130009431	130009431	16	16	-	-	-	-	-
LOC130009432	130009432	16	16	-	-	-	-	-
LOC130009433	130009433	16	16	-	-	-	-	-
LOC130009434	130009434	16	16	-	-	-	-	-
LOC130009435	130009435	17	17	-	-	-	1	0
LOC130009436	130009436	17	17	-	-	-	-	-
LOC130009437	130009437	17	17	-	-	-	-	-
LOC130009438	130009438	18	18	-	-	-	1	0
LOC130009439	130009439	17	17	-	-	-	-	-
LOC130009440	130009440	17	17	-	-	-	-	-
LOC130009441	130009441	17	17	-	-	-	-	-
LOC130009442	130009442	17	17	-	-	-	-	-
LOC130009443	130009443	17	17	-	-	-	-	-
LOC130009444	130009444	17	17	-	-	-	-	-
LOC130009445	130009445	24	24	-	-	-	-	-
LOC130009446	130009446	16	16	-	-	-	-	-
LOC130009447	130009447	16	16	-	-	-	-	-
LOC130009448	130009448	17	17	-	-	-	-	-
LOC130009449	130009449	17	17	-	-	-	-	-
LOC130009450	130009450	16	16	-	-	-	-	-
LOC130009451	130009451	16	16	-	-	-	-	-
LOC130009452	130009452	21	21	-	-	-	5	0
LOC130009453	130009453	19	19	-	-	-	3	0
LOC130009454	130009454	16	16	-	-	-	-	-
LOC130009455	130009455	16	16	-	-	-	-	-
LOC130009456	130009456	16	16	-	-	-	-	-
LOC130009457	130009457	16	16	-	-	-	-	-
LOC130009458	130009458	18	18	-	-	-	1	0
LOC130009459	130009459	16	16	-	-	-	-	-
LOC130009460	130009460	19	19	-	-	-	2	0
LOC130009461	130009461	16	16	-	-	-	-	-
LOC130009462	130009462	16	16	-	-	-	-	-
LOC130009463	130009463	16	16	-	-	-	-	-
LOC130009464	130009464	16	16	-	-	-	-	-
LOC130009465	130009465	16	16	-	-	-	-	-
LOC130009466	130009466	17	17	-	-	-	1	0
LOC130009467	130009467	17	17	-	-	-	1	0
LOC130009468	130009468	17	17	-	-	-	1	0
LOC130009469	130009469	17	17	-	-	-	1	0
LOC130009470	130009470	18	18	-	-	-	-	-
LOC130009471	130009471	18	18	-	-	-	-	-
LOC130009472	130009472	18	18	-	-	-	-	-
LOC130009473	130009473	18	18	-	-	-	-	-
LOC130009474	130009474	19	19	-	-	-	-	-
LOC130009475	130009475	19	19	-	-	-	-	-
LOC130009476	130009476	19	19	-	-	-	-	-
LOC130009477	130009477	20	20	-	-	-	-	-
LOC130009478	130009478	20	20	-	-	-	-	-
LOC130009479	130009479	20	20	-	-	-	-	-
LOC130009480	130009480	20	20	-	-	-	-	-
LOC130009481	130009481	20	20	-	-	-	-	-
LOC130009482	130009482	19	19	-	-	-	-	-
LOC130009483	130009483	19	19	-	-	-	-	-
LOC130009484	130009484	19	19	-	-	-	-	-
LOC130009485	130009485	18	18	-	-	-	-	-
LOC130009486	130009486	18	18	-	-	-	-	-
LOC130009487	130009487	18	18	-	-	-	-	-
LOC130009488	130009488	18	18	-	-	-	-	-
LOC130009489	130009489	19	19	-	-	-	1	0
LOC130009490	130009490	19	19	-	-	-	1	0
LOC130009491	130009491	19	19	-	-	-	1	0
LOC130009492	130009492	22	22	-	-	-	2	0
LOC130009493	130009493	22	22	-	-	-	2	0
LOC130009494	130009494	22	22	-	-	-	2	0
LOC130009495	130009495	22	22	-	-	-	2	0
LOC130009496	130009496	22	22	-	-	-	2	0
LOC130009497	130009497	22	22	-	-	-	2	0
LOC130009498	130009498	22	22	-	-	-	2	0
LOC130009499	130009499	22	22	-	-	-	2	0
LOC130009500	130009500	22	22	-	-	-	2	0
LOC130009501	130009501	22	22	-	-	-	2	0
LOC130009502	130009502	22	22	-	-	-	2	0
LOC130009503	130009503	22	22	-	-	-	2	0
LOC130009504	130009504	22	22	-	-	-	2	0
LOC130009505	130009505	22	22	-	-	-	2	0
LOC130009506	130009506	22	22	-	-	-	2	0
LOC130009507	130009507	22	22	-	-	-	2	0
LOC130009508	130009508	23	23	-	-	-	2	0
LOC130009509	130009509	22	22	-	-	-	1	0
LOC130009510	130009510	22	22	-	-	-	1	0
LOC130009511	130009511	23	23	-	-	-	1	0
LOC130009512	130009512	23	23	-	-	-	1	0
LOC130009513	130009513	24	24	-	-	-	1	0
LOC130009514	130009514	41	38	-	-	-	10	0
LOC130009515	130009515	24	24	-	-	-	1	0
LOC130009516	130009516	25	25	-	-	-	1	0
LOC130009517	130009517	25	25	-	-	-	-	-
LOC130009518	130009518	25	25	-	-	-	-	-
LOC130009519	130009519	25	25	-	-	-	-	-
LOC130009520	130009520	25	25	-	-	-	-	-
LOC130009521	130009521	25	25	-	-	-	-	-
LOC130009522	130009522	25	25	-	-	-	-	-
LOC130009523	130009523	34	33	-	-	-	-	-
LOC130009524	130009524	34	34	-	-	-	2	0
LOC130009525	130009525	27	27	-	-	-	1	0
LOC130009526	130009526	27	27	-	-	-	1	0
LOC130009527	130009527	27	27	-	-	-	1	0
LOC130009528	130009528	30	30	-	-	-	4	0
LOC130009529	130009529	27	27	-	-	-	1	0
LOC130009530	130009530	27	27	-	-	-	1	0
LOC130009531	130009531	28	28	-	-	-	1	0
LOC130009532	130009532	28	28	-	-	-	1	0
LOC130009533	130009533	28	28	-	-	-	1	0
LOC130009534	130009534	28	28	-	-	-	1	0
LOC130009535	130009535	27	27	-	-	-	-	-
LOC130009536	130009536	27	27	-	-	-	-	-
LOC130009537	130009537	27	27	-	-	-	1	0
LOC130009538	130009538	26	26	-	-	-	1	0
LOC130009539	130009539	38	36	-	-	-	5	0
LOC130009540	130009540	26	26	-	-	-	1	0
LOC130009541	130009541	27	27	-	-	-	2	0
LOC130009542	130009542	27	27	-	-	-	2	0
LOC130009543	130009543	27	27	-	-	-	2	0
LOC130009544	130009544	27	27	-	-	-	2	0
LOC130009545	130009545	27	27	-	-	-	2	0
LOC130009546	130009546	27	27	-	-	-	2	0
LOC130009547	130009547	27	27	-	-	-	2	0
LOC130009548	130009548	27	27	-	-	-	2	0
LOC130009549	130009549	27	27	-	-	-	2	0
LOC130009550	130009550	27	27	-	-	-	2	0
LOC130009551	130009551	27	27	-	-	-	2	0
LOC130009552	130009552	27	27	-	-	-	2	0
LOC130009553	130009553	27	27	-	-	-	2	0
LOC130009554	130009554	26	26	-	-	-	-	-
LOC130009555	130009555	26	26	-	-	-	-	-
LOC130009556	130009556	25	25	-	-	-	-	-
LOC130009557	130009557	25	25	-	-	-	-	-
LOC130009558	130009558	25	25	-	-	-	-	-
LOC130009559	130009559	25	25	-	-	-	-	-
LOC130009560	130009560	25	25	-	-	-	-	-
LOC130009561	130009561	26	26	-	-	-	1	0
LOC130009562	130009562	26	26	-	-	-	2	0
LOC130009563	130009563	26	26	-	-	-	2	0
LOC130009564	130009564	27	27	-	-	-	3	0
LOC130009565	130009565	26	26	-	-	-	2	0
LOC130009566	130009566	26	26	-	-	-	1	0
LOC130009567	130009567	27	27	-	-	-	2	0
LOC130009568	130009568	27	27	-	-	-	2	0
LOC130009569	130009569	27	27	-	-	-	2	0
LOC130009570	130009570	26	26	-	-	-	1	0
LOC130009571	130009571	26	26	-	-	-	1	0
LOC130009572	130009572	26	26	-	-	-	1	0
LOC130009573	130009573	85	70	-	2	-	28	0
LOC130009574	130009574	40	38	-	2	-	8	0
LOC130009575	130009575	48	46	-	2	-	11	0
LOC130009576	130009576	35	34	-	-	-	8	0
LOC130009577	130009577	26	26	-	-	-	1	0
LOC130009578	130009578	26	26	-	-	-	-	-
LOC130009579	130009579	24	24	-	-	-	-	-
LOC130009580	130009580	27	27	-	-	-	-	-
LOC130009581	130009581	31	29	-	-	-	2	0
LOC130009582	130009582	24	24	-	-	-	-	-
LOC130009583	130009583	24	24	-	-	-	-	-
LOC130009584	130009584	28	28	-	-	-	1	0
LOC130009585	130009585	41	29	-	1	-	1	0
LOC130009586	130009586	28	28	-	-	-	1	0
LOC130009587	130009587	27	27	-	-	-	1	0
LOC130009588	130009588	43	38	-	1	-	6	0
LOC130009589	130009589	26	26	-	-	-	1	0
LOC130009590	130009590	26	26	-	-	-	1	0
LOC130009591	130009591	26	26	-	-	-	1	0
LOC130009592	130009592	25	25	-	-	-	1	0
LOC130009593	130009593	24	24	-	-	-	-	-
LOC130009594	130009594	25	25	-	-	-	-	-
LOC130009595	130009595	25	25	-	-	-	1	0
LOC130009596	130009596	25	25	-	-	-	1	0
LOC130009597	130009597	25	25	-	-	-	1	0
LOC130009598	130009598	25	25	-	-	-	1	0
LOC130009599	130009599	25	25	-	-	-	1	0
LOC130009600	130009600	25	25	-	-	-	1	0
LOC130009601	130009601	25	25	-	-	-	1	0
LOC130009602	130009602	25	25	-	-	-	1	0
LOC130009603	130009603	25	25	-	-	-	1	0
LOC130009604	130009604	25	25	-	-	-	1	0
LOC130009605	130009605	25	25	-	-	-	1	0
LOC130009606	130009606	25	25	-	-	-	1	0
LOC130009607	130009607	25	25	-	-	-	1	0
LOC130009608	130009608	25	25	-	-	-	1	0
LOC130009609	130009609	27	27	-	-	-	2	0
LOC130009610	130009610	28	28	-	-	-	4	0
LOC130009611	130009611	25	25	-	-	-	1	0
LOC130009612	130009612	25	25	-	-	-	1	0
LOC130009613	130009613	25	25	-	-	-	1	0
LOC130009614	130009614	31	31	-	-	-	6	0
LOC130009615	130009615	25	25	-	-	-	1	0
LOC130009616	130009616	39	35	-	-	-	7	0
LOC130009617	130009617	25	25	-	-	-	1	0
LOC130009618	130009618	25	25	-	-	-	1	0
LOC130009619	130009619	25	25	-	-	-	1	0
LOC130009620	130009620	26	26	-	-	-	1	0
LOC130009621	130009621	26	26	-	-	-	1	0
LOC130009622	130009622	26	26	-	-	-	1	0
LOC130009623	130009623	26	26	-	-	-	1	0
LOC130009624	130009624	26	26	-	-	-	1	0
LOC130009625	130009625	26	26	-	-	-	1	0
LOC130009626	130009626	26	26	-	-	-	1	0
LOC130009627	130009627	26	26	-	-	-	1	0
LOC130009628	130009628	27	27	-	-	-	1	0
LOC130009629	130009629	27	27	-	-	-	1	0
LOC130009630	130009630	27	27	-	-	-	1	0
LOC130009631	130009631	27	27	-	-	-	1	0
LOC130009632	130009632	27	27	-	-	-	1	0
LOC130009633	130009633	27	27	-	-	-	1	0
LOC130009634	130009634	27	27	-	-	-	1	0
LOC130009635	130009635	27	27	-	-	-	1	0
LOC130009636	130009636	28	28	-	-	-	1	0
LOC130009637	130009637	28	28	-	-	-	1	0
LOC130009638	130009638	28	28	-	-	-	1	0
LOC130009639	130009639	35	35	-	-	-	6	0
LOC130009640	130009640	27	27	-	-	-	1	0
LOC130009641	130009641	27	27	-	-	-	1	0
LOC130009642	130009642	27	27	-	-	-	1	0
LOC130009643	130009643	27	27	-	-	-	1	0
LOC130009644	130009644	27	27	-	-	-	1	0
LOC130009645	130009645	30	30	-	-	-	4	0
LOC130009646	130009646	27	27	-	-	-	1	0
LOC130009647	130009647	27	27	-	-	-	1	0
LOC130009648	130009648	27	27	-	-	-	1	0
LOC130009649	130009649	27	27	-	-	-	1	0
LOC130009650	130009650	27	27	-	-	-	1	0
LOC130009651	130009651	27	27	-	-	-	1	0
LOC130009652	130009652	27	27	-	-	-	1	0
LOC130009653	130009653	27	27	-	-	-	1	0
LOC130009654	130009654	27	27	-	-	-	1	0
LOC130009655	130009655	27	27	-	-	-	1	0
LOC130009656	130009656	27	27	-	-	-	1	0
LOC130009657	130009657	27	27	-	-	-	1	0
LOC130009658	130009658	27	27	-	-	-	1	0
LOC130009659	130009659	27	27	-	-	-	1	0
LOC130009660	130009660	27	27	-	-	-	1	0
LOC130009661	130009661	27	27	-	-	-	1	0
LOC130009662	130009662	113	89	-	-	-	37	0
LOC130009663	130009663	27	27	-	-	-	1	0
LOC130009664	130009664	29	29	-	-	-	2	0
LOC130009665	130009665	30	30	-	-	-	3	0
LOC130009666	130009666	31	31	-	-	-	3	0
LOC130009667	130009667	31	31	-	-	-	3	0
LOC130009668	130009668	31	31	-	-	-	3	0
LOC130009669	130009669	31	31	-	-	-	3	0
LOC130009670	130009670	31	31	-	-	-	3	0
LOC130009671	130009671	31	31	-	-	-	3	0
LOC130009672	130009672	31	31	-	-	-	3	0
LOC130009673	130009673	31	31	-	-	-	3	0
LOC130009674	130009674	31	31	-	-	-	3	0
LOC130009675	130009675	31	31	-	-	-	3	0
LOC130009676	130009676	31	31	-	-	-	3	0
LOC130009677	130009677	31	31	-	-	-	3	0
LOC130009678	130009678	29	29	-	-	-	3	0
LOC130009679	130009679	29	29	-	-	-	3	0
LOC130009680	130009680	27	27	-	-	-	-	-
LOC130009681	130009681	27	27	-	-	-	-	-
LOC130009682	130009682	27	27	-	-	-	-	-
LOC130009683	130009683	26	26	-	-	-	-	-
LOC130009684	130009684	27	27	-	-	-	-	-
LOC130009685	130009685	27	27	-	-	-	-	-
LOC130009686	130009686	27	27	-	-	-	-	-
LOC130009687	130009687	27	27	-	-	-	-	-
LOC130009688	130009688	27	27	-	-	-	-	-
LOC130009689	130009689	27	27	-	-	-	-	-
LOC130009690	130009690	27	27	-	-	-	-	-
LOC130009691	130009691	28	28	-	-	-	-	-
LOC130009692	130009692	30	30	-	-	-	-	-
LOC130009693	130009693	30	30	-	-	-	-	-
LOC130009694	130009694	30	30	-	-	-	-	-
LOC130009695	130009695	29	29	-	-	-	-	-
LOC130009696	130009696	29	29	-	-	-	-	-
LOC130009697	130009697	29	29	-	-	-	-	-
LOC130009698	130009698	29	29	-	-	-	-	-
LOC130009699	130009699	29	29	-	-	-	-	-
LOC130009700	130009700	29	29	-	-	-	-	-
LOC130009701	130009701	29	29	-	-	-	-	-
LOC130009702	130009702	30	30	-	-	-	-	-
LOC130009703	130009703	30	30	-	-	-	-	-
LOC130009704	130009704	29	29	-	-	-	-	-
LOC130009705	130009705	29	29	-	-	-	-	-
LOC130009706	130009706	29	29	-	-	-	-	-
LOC130009707	130009707	29	29	-	-	-	-	-
LOC130009708	130009708	29	29	-	-	-	-	-
LOC130009709	130009709	29	29	-	-	-	-	-
LOC130009710	130009710	29	29	-	-	-	-	-
LOC130009711	130009711	29	29	-	-	-	-	-
LOC130009712	130009712	29	29	-	-	-	-	-
LOC130009713	130009713	29	29	-	-	-	-	-
LOC130009714	130009714	29	29	-	-	-	-	-
LOC130009715	130009715	29	29	-	-	-	-	-
LOC130009716	130009716	29	29	-	-	-	-	-
LOC130009717	130009717	29	29	-	-	-	-	-
LOC130009718	130009718	29	29	-	-	-	-	-
LOC130009719	130009719	29	29	-	-	-	-	-
LOC130009720	130009720	29	29	-	-	-	-	-
LOC130009721	130009721	29	29	-	-	-	-	-
LOC130009722	130009722	29	29	-	-	-	-	-
LOC130009723	130009723	29	29	-	-	-	-	-
LOC130009724	130009724	29	29	-	-	-	-	-
LOC130009725	130009725	29	29	-	-	-	-	-
LOC130009726	130009726	29	29	-	-	-	-	-
LOC130009727	130009727	29	29	-	-	-	-	-
LOC130009728	130009728	29	29	-	-	-	-	-
LOC130009729	130009729	29	29	-	-	-	-	-
LOC130009730	130009730	29	29	-	-	-	-	-
LOC130009731	130009731	29	29	-	-	-	-	-
LOC130009732	130009732	29	29	-	-	-	-	-
LOC130009733	130009733	29	29	-	-	-	-	-
LOC130009734	130009734	29	29	-	-	-	-	-
LOC130009735	130009735	29	29	-	-	-	-	-
LOC130009736	130009736	29	29	-	-	-	-	-
LOC130009737	130009737	29	29	-	-	-	-	-
LOC130009738	130009738	29	29	-	-	-	-	-
LOC130009739	130009739	29	29	-	-	-	-	-
LOC130009740	130009740	29	29	-	-	-	-	-
LOC130009741	130009741	29	29	-	-	-	-	-
LOC130009742	130009742	30	30	-	-	-	-	-
LOC130009743	130009743	30	30	-	-	-	-	-
LOC130009744	130009744	30	30	-	-	-	-	-
LOC130009745	130009745	32	32	-	-	-	-	-
LOC130009746	130009746	32	32	-	-	-	-	-
LOC130009747	130009747	80	58	-	-	-	9	0
LOC130009748	130009748	34	34	-	-	-	-	-
LOC130009749	130009749	32	32	-	-	-	-	-
LOC130009750	130009750	32	32	-	-	-	-	-
LOC130009751	130009751	50	46	-	-	-	8	0
LOC130009752	130009752	48	45	-	-	-	5	0
LOC130009753	130009753	33	33	-	-	-	-	-
LOC130009754	130009754	36	36	-	-	-	-	-
LOC130009755	130009755	36	36	-	-	-	-	-
LOC130009756	130009756	33	33	-	-	-	-	-
LOC130009757	130009757	33	33	-	-	-	-	-
LOC130009758	130009758	32	32	-	-	-	-	-
LOC130009759	130009759	32	32	-	-	-	-	-
LOC130009760	130009760	32	32	-	-	-	-	-
LOC130009761	130009761	32	32	-	-	-	-	-
LOC130009762	130009762	32	32	-	-	-	-	-
LOC130009763	130009763	32	32	-	-	-	-	-
LOC130009764	130009764	32	32	-	-	-	-	-
LOC130009765	130009765	32	32	-	-	-	-	-
LOC130009766	130009766	32	32	-	-	-	-	-
LOC130009767	130009767	32	32	-	-	-	-	-
LOC130009768	130009768	33	33	-	-	-	1	0
LOC130009769	130009769	33	33	-	-	-	1	0
LOC130009770	130009770	33	33	-	-	-	1	0
LOC130009771	130009771	33	33	-	-	-	1	0
LOC130009772	130009772	33	33	-	-	-	1	0
LOC130009773	130009773	33	33	-	-	-	1	0
LOC130009774	130009774	33	33	-	-	-	1	0
LOC130009775	130009775	35	35	-	-	-	3	0
LOC130009776	130009776	33	33	-	-	-	1	0
LOC130009777	130009777	34	34	-	-	-	1	0
LOC130009778	130009778	35	35	-	-	-	1	0
LOC130009779	130009779	34	34	-	-	-	1	0
LOC130009780	130009780	34	34	-	-	-	1	0
LOC130009781	130009781	34	34	-	-	-	1	0
LOC130009782	130009782	34	34	-	-	-	1	0
LOC130009783	130009783	34	34	-	-	-	1	0
LOC130009784	130009784	33	33	-	-	-	1	0
LOC130009785	130009785	34	34	-	-	-	2	0
LOC130009786	130009786	33	33	-	-	-	1	0
LOC130009787	130009787	33	33	-	-	-	1	0
LOC130009788	130009788	32	32	-	-	-	1	0
LOC130009789	130009789	32	32	-	-	-	1	0
LOC130009790	130009790	32	32	-	-	-	1	0
LOC130009791	130009791	32	32	-	-	-	1	0
LOC130009792	130009792	31	31	-	-	-	-	-
LOC130009793	130009793	31	31	-	-	-	-	-
LOC130009794	130009794	31	31	-	-	-	-	-
LOC130009795	130009795	31	31	-	-	-	-	-
LOC130009796	130009796	31	31	-	-	-	-	-
LOC130009797	130009797	31	31	-	-	-	-	-
LOC130009798	130009798	31	31	-	-	-	-	-
LOC130009799	130009799	31	31	-	-	-	-	-
LOC130009800	130009800	31	31	-	-	-	-	-
LOC130009801	130009801	31	31	-	-	-	-	-
LOC130009802	130009802	32	32	-	-	-	-	-
LOC130009803	130009803	32	32	-	-	-	-	-
LOC130009804	130009804	32	32	-	-	-	-	-
LOC130009805	130009805	32	32	-	-	-	-	-
LOC130009806	130009806	32	32	-	-	-	-	-
LOC130009807	130009807	32	32	-	-	-	-	-
LOC130009808	130009808	32	32	-	-	-	-	-
LOC130009809	130009809	44	42	-	-	-	8	0
LOC130009810	130009810	86	75	-	6	-	16	0
LOC130009811	130009811	31	31	-	-	-	-	-
LOC130009812	130009812	31	31	-	-	-	-	-
LOC130009813	130009813	31	31	-	-	-	-	-
LOC130009814	130009814	30	30	-	-	-	-	-
LOC130009815	130009815	30	30	-	-	-	-	-
LOC130009816	130009816	29	29	-	-	-	-	-
LOC130009817	130009817	29	29	-	-	-	-	-
LOC130009818	130009818	29	29	-	-	-	-	-
LOC130009819	130009819	29	29	-	-	-	-	-
LOC130009820	130009820	29	29	-	-	-	-	-
LOC130009821	130009821	29	29	-	-	-	-	-
LOC130009822	130009822	29	29	-	-	-	-	-
LOC130009823	130009823	29	29	-	-	-	-	-
LOC130009824	130009824	29	29	-	-	-	-	-
LOC130009825	130009825	29	29	-	-	-	-	-
LOC130009826	130009826	30	30	-	-	-	-	-
LOC130009827	130009827	30	30	-	-	-	-	-
LOC130009828	130009828	30	30	-	-	-	-	-
LOC130009829	130009829	30	30	-	-	-	1	0
LOC130009830	130009830	30	30	-	-	-	1	0
LOC130009831	130009831	30	30	-	-	-	1	0
LOC130009832	130009832	30	30	-	-	-	1	0
LOC130009833	130009833	30	30	-	-	-	1	0
LOC130009834	130009834	30	30	-	-	-	1	0
LOC130009835	130009835	30	30	-	-	-	1	0
LOC130009836	130009836	31	31	-	-	-	1	0
LOC130009837	130009837	31	31	-	-	-	1	0
LOC130009838	130009838	53	44	-	1	-	10	0
LOC130009839	130009839	31	31	-	-	-	2	0
LOC130009840	130009840	31	31	-	-	-	2	0
LOC130009841	130009841	59	51	-	3	-	10	0
LOC130009842	130009842	33	32	-	-	-	2	0
LOC130009843	130009843	30	30	-	-	-	1	0
LOC130009844	130009844	30	30	-	-	-	1	0
LOC130009845	130009845	30	30	-	-	-	1	0
LOC130009846	130009846	30	30	-	-	-	1	0
LOC130009847	130009847	30	30	-	-	-	1	0
LOC130009848	130009848	30	30	-	-	-	1	0
LOC130009849	130009849	30	30	-	-	-	1	0
LOC130009850	130009850	30	30	-	-	-	1	0
LOC130009851	130009851	30	30	-	-	-	1	0
LOC130009852	130009852	30	30	-	-	-	1	0
LOC130009853	130009853	30	30	-	-	-	1	0
LOC130009854	130009854	30	30	-	-	-	1	0
LOC130009855	130009855	30	30	-	-	-	1	0
LOC130009856	130009856	30	30	-	-	-	1	0
LOC130009857	130009857	30	30	-	-	-	1	0
LOC130009858	130009858	30	30	-	-	-	1	0
LOC130009859	130009859	31	31	-	-	-	1	0
LOC130009860	130009860	31	31	-	-	-	1	0
LOC130009861	130009861	31	31	-	-	-	1	0
LOC130009862	130009862	31	31	-	-	-	1	0
LOC130009863	130009863	31	31	-	-	-	1	0
LOC130009864	130009864	31	31	-	-	-	1	0
LOC130009865	130009865	31	31	-	-	-	1	0
LOC130009866	130009866	31	31	-	-	-	1	0
LOC130009867	130009867	31	31	-	-	-	1	0
LOC130009868	130009868	32	32	-	-	-	2	0
LOC130009869	130009869	29	29	-	-	-	1	0
LOC130009870	130009870	31	31	-	-	-	-	-
LOC130009871	130009871	30	30	-	-	-	-	-
